dox	time	image	cell	c_area	n_area	Fli1	Cdh5	Flk1	Etv2	Pdgfra	Snail1	FP	n_Fli1	n_Cdh5	n_Flk1	n_Etv2	n_Pdgfra	n_Snail1	n_FP	p_Etv2
81	20	6	2	40	47527	17689	0	6.31220148547142e-05	4.20813432364761e-05	0	0	2.10406716182381e-05	0	0	0	0	0	0	0	0	0.0400052009723557
82	20	6	2	41	38454	16300	0	7.80152909970354e-05	0.000702137618973319	0.000130025484995059	0.00057211213397826	0.000754147812971342	0	0	0	0	0	0	1	0	0.0453616564417178
83	20	6	2	42	39059	19558	0	7.68068818966179e-05	0	5.12045879310786e-05	2.56022939655393e-05	0.000332829821552011	0	0	0	0	0	0	0	0	0.0409022906227631
84	20	6	2	43	15952	7894	0.000501504513540622	0.000313440320962889	0.0033851554663992	0.00764794383149448	0.000250752256770311	0.000501504513540622	6.26880641925777e-05	0	0	0	0	0	0	0	0.0573416518875095
85	20	6	2	44	24261	9317	0	0.000123655249165327	4.12184163884424e-05	0.00614154404187791	0	0.000370965747495981	4.12184163884424e-05	0	0	0	0	0	0	0	0.0474230975635934
86	100	6	3	1	22446	4825	0.000356410941815914	4.45513677269892e-05	0.00356410941815914	0.00677180789450236	0.000980130089993763	0.00111378419317473	0.000178205470907957	0	0	1	1	0	0	0	0.0515222797927461
87	100	6	3	2	21090	9486	0	0.000142247510668563	0	0	0	0.000379326695116169	0	0	0	0	0	0	0	0	0.037707779886148
88	100	6	3	3	21001	9676	0	0	0	0	0	0.000380934241226608	0	0	0	0	0	0	0	0	0.0379951426209177
89	100	6	3	4	24704	8402	0.000728626943005181	0.000121437823834197	0.00340025906735751	0.00586949481865285	0.000607189119170984	0.00109294041450777	4.0479274611399e-05	0	0	1	0	0	0	0	0.0556718638419424
90	100	6	3	5	15532	6872	0.000128766417718259	0	0.0017383466391965	0.00193149626577389	0.000128766417718259	0.000643832088591295	0.000128766417718259	0	0	0	0	0	0	0	0.0851663271245635
